Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
1690 | 56.333336271345615 | 135.83428955078125,225.9178466796875,0.2306549847126007 | 0.13165026903152466,-2.8963873386383057,-5.14898317760526e-07 | 177.4 | 0.056381672620773315,0.003415375715121627,1.4185853004455566 | -0.22427423298358917,2.9709861278533936,-1.0870075129787438e-05 | 0,0
1700 | 56.66666962206364 | 135.86456298828125,225.19586181640625,0.2308063805103302 | 0.090613953769207,-1.9778019189834595,-9.344450404569216e-07 | 177.4 | -0.02552199177443981,-0.002991730347275734,0.584651529788971 | 0.004559531342238188,0.02621769718825817,-6.808099715271965e-05 | 0,0
1710 | 57.00000297278166 | 135.89205932617188,224.55624389648438,0.23075896501541138 | 0.08068360388278961,-1.8366203308105469,-5.721092293242691e-07 | 177.5 | -0.012709411792457104,0.0015194873558357358,0.282392293214798 | -0.07305643707513809,-0.2646338641643524,-7.437419299094472e-06 | 0,0
1720 | 57.33333632349968 | 135.92166137695312,223.8617706298828,0.23068492114543915 | 0.0909731537103653,-2.1704905033111572,-1.0488669204278267e-06 | 177.6 | 0.019064413383603096,0.0035563604906201363,0.16800065338611603 | -0.22317162156105042,2.106055974960327,-1.3158511137589812e-05 | 0,0
1730 | 57.6666696742177 | 135.9340362548828,223.56646728515625,0.23096568882465363 | -1.401660938427085e-05,2.6677553250920027e-06,2.8605461466213455e-07 | 177.6 | -0.018727432936429977,-0.0024713738821446896,-2.015197253513179e-07 | 0.00030904586310498416,0.00012587699166033417,2.860546373995021e-06 | 0,0
1740 | 58.00000302493572 | 135.9340362548828,223.56629943847656,0.23080669343471527 | 1.974296850448809e-07,2.544053586461814e-06,3.623358395543619e-07 | 177.6 | -0.015242996625602245,-0.0005854729097336531,-1.565858696039868e-07 | -0.0003096444997936487,-9.439449058845639e-05,-1.6019059330574237e-05 | 0,0
1750 | 58.333336375653744 | 135.9340362548828,223.56626892089844,0.23074470460414886 | -3.83886487043128e-07,1.5540663298452273e-06,7.437419640154985e-07 | 177.6 | -0.0162265133112669,-0.00020058342488482594,-5.74396608499228e-07 | 8.871614340932865e-07,-6.7996547841175925e-06,2.860544327631942e-06 | 0,0
1760 | 58.666669726371765 | 135.9340362548828,223.5662384033203,0.23072807490825653 | -1.2978406971342338e-07,4.593440223743528e-07,4.767576911035576e-07 | 177.6 | -0.004707401618361473,-7.912368891993538e-05,-1.7113835326654225e-07 | -4.77120579489565e-07,-1.6287489188471227e-06,5.148982381797396e-06 | 0,0
1770 | 59.00000307708979 | 135.9340362548828,223.5662384033203,0.2307233363389969 | -7.727258832801454e-09,1.2637696045203484e-07,3.2419524131910293e-07 | 177.6 | -0.00125180184841156,-3.817426841123961e-05,-4.538256348496361e-08 | 1.6300627976306714e-06,-5.00135364234211e-08,2.2884373720444273e-06 | 0,0
1780 | 59.33333642780781 | 135.9340362548828,223.5662384033203,0.23072108626365662 | -2.2100903329658195e-09,2.531396781080275e-08,-1.9070306223056832e-07 | 177.6 | -0.0002574296377133578,1.8415720433040406e-06,-9.099243136745372e-09 | -3.7210094205875066e-07,-6.255875462102267e-08,-1.9451712432783097e-05 | 0,0
1790 | 59.66666977852583 | 135.9340362548828,223.5662384033203,0.23072108626365662 | 1.6895089494095572e-10,3.0418405572163465e-09,3.814061599882734e-08 | 177.6 | -1.7889189621200785e-05,1.0122107596544083e-06,-1.6589141171863275e-10 | -3.950497955429455e-07,-2.373448779735554e-07,-2.2884365534991957e-05 | 0,0
