Simulation Frame | Timestamp | Position | Velocity | Heading | Angular Velocity | Acceleration | Stopped at Red Light + Light ID 
770 | 9.711520098149776 | 98.40318298339844,191.54598999023438,0.21197101473808289 | 2.6348118782043457,0.02096717618405819,0.0009001995204016566 | 89.5 | -0.0011772887082770467,0.15299807488918304,0.04045962169766426 | -5.747109889984131,-0.04089132696390152,0.1483350694179535 | 0,0
780 | 9.84006080031395 | 98.68669891357422,191.5481719970703,0.2122039794921875 | 1.9897363185882568,0.01581072062253952,0.0005661646137014031 | 89.5 | -0.00114957126788795,0.15552137792110443,0.023431001231074333 | -0.5104416012763977,-0.0019662186969071627,-0.020988808944821358 | 0,0
790 | 9.962295398116112 | 98.91250610351562,191.54995727539062,0.21236175298690796 | 1.6065382957458496,0.012698422186076641,0.0008929744944907725 | 89.5 | -0.0009175090817734599,0.10781081020832062,0.01748557575047016 | -5.793094635009766,-0.05289726331830025,0.027021070942282677 | 0,0
800 | 10.088972199708223 | 99.03777313232422,191.55093383789062,0.21255244314670563 | 0.29240936040878296,0.0023203399032354355,0.0008938874816522002 | 89.5 | -0.002374649979174137,0.3013697862625122,0.005550423637032509 | -14.534745216369629,-0.11538278311491013,0.05546988546848297 | 0,0
810 | 10.219554599374533 | 99.03987884521484,191.5509490966797,0.21267329156398773 | -1.1327372703817673e-05,-8.944412570599525e-07,0.0013338741846382618 | 89.5 | 0.0005831581656821072,-0.057506900280714035,-1.6225078525167191e-06 | -0.00018299017392564565,7.629232641193084e-06,0.21621757745742798 | 0,0
820 | 10.347346898168325 | 99.04000091552734,191.5509490966797,0.2125120908021927 | -2.8952361390111037e-05,-1.4707882201037137e-07,0.0015020283171907067 | 89.5 | 0.0012208903208374977,-0.16131465137004852,-2.4542937353544403e-06 | -1.5468747733393684e-05,-1.0230118277831934e-05,0.08298908174037933 | 0,0
830 | 10.469573300331831 | 99.04011535644531,191.5509796142578,0.21237224340438843 | -2.430680069664959e-05,1.4590871444397635e-07,0.0006542294286191463 | 89.5 | 0.0009980513714253902,-0.13204927742481232,-7.229566563182743e-07 | 6.204561213962734e-05,-1.6232473853960983e-06,-0.034390758723020554 | 0,0
840 | 10.590125098824501 | 99.04015350341797,191.5509796142578,0.2123265415430069 | -9.422949005966075e-06,-2.198179060997063e-08,0.0002885482390411198 | 89.5 | 0.0003743163251783699,-0.04870784282684326,-2.8084673431294505e-07 | -4.985676423530094e-05,-1.5619853854786925e-08,0.05101296678185463 | 0,0
850 | 10.711952198296785 | 99.04019927978516,191.5509796142578,0.21223819255828857 | -1.0757590644061565e-05,7.397510870532642e-08,0.000512578000780195 | 89.5 | 0.00039483016007579863,-0.056498847901821136,-4.193466907054244e-08 | 1.728209826978855e-05,-6.016588031343417e-06,0.10466442257165909 | 0,0
860 | 10.836293399333954 | 99.04024505615234,191.5509796142578,0.21217231452465057 | -7.822291081538424e-06,3.3819941336332704e-07,0.0009746379218995571 | 89.5 | 0.0003247190034016967,-0.040854938328266144,6.138846941894371e-08 | 2.4525159460608847e-05,1.178154661829467e-06,0.007812665775418282 | 0,0
870 | 10.959923800081015 | 99.0402603149414,191.5509796142578,0.21214549243450165 | -1.3567538417191827e-06,-1.0217649837329645e-08,0.0006788131431676447 | 89.5 | 5.3588162700179964e-05,-0.0064550102688372135,-3.8344477815144273e-08 | -1.0523734999878798e-05,-2.6923178353399635e-08,0.014592709019780159 | 0,0
880 | 11.085775699466467 | 99.04026794433594,191.5509796142578,0.21210803091526031 | -2.472969981681672e-06,-2.2413196631987375e-08,0.0005083517171442509 | 89.5 | 9.862466686172411e-05,-0.012637298554182053,-4.360332894748353e-08 | -3.728352453435946e-07,1.3336523352336371e-06,-0.008621026761829853 | 0,0
890 | 11.212855797261 | 99.040283203125,191.5509796142578,0.21208927035331726 | -1.9595420326368185e-06,-1.865280907509259e-08,0.0006753200432285666 | 89.5 | 7.139238732634112e-05,-0.010119780898094177,-2.9345343932618562e-08 | 5.603312729363097e-06,1.9896271297170642e-08,0.2095584273338318 | 0,0
900 | 11.338855899870396 | 99.040283203125,191.5509796142578,0.21208900213241577 | -1.1972033462370746e-06,-1.8016013569877032e-08,0.0016003380296751857 | 89.5 | 4.677183096646331e-05,-0.006195767316967249,-1.7323623424658763e-08 | 5.857084033777937e-06,-2.1512096282094717e-07,0.017313575372099876 | 0,0
